3V3_2:1
3v3_1:1
5V_1:1
5V_2:1
5V_3:1
5V_4:1
5V_5:1
ANT1:1
BAT_1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D32:1
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D4:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D47:1
D48:1
D5:1
D6:1
D7:1
D8:1
D9:1
Di1:1
Di10:1
Di11:1
Di12:1
Di13:1
Di14:1
Di15:1
Di16:1
Di17:1
Di18:1
Di19:1
Di2:1
Di20:1
Di21:1
Di22:1
Di23:1
Di24:1
Di3:1
Di4:1
Di5:1
Di6:1
Di7:1
Di8:1
Di9:1
F1:1
GND1:1
GND2:1
GND3:1
GND4:1
IC2:1
IC3:1
IC4:1
IC5:1
IC6:1
J1:1
J2:1
J3:1
J4:1
J6:1
J7:1
L1:1
L2:1
L3:1
L5:1
R1:1
R10:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R9:1
REF**:36
S1:1
S10:1
S11:1
S12:1
S13:1
S14:1
S15:1
S16:1
S17:1
S18:1
S19:1
S2:1
S20:1
S21:1
S22:1
S23:1
S24:1
S26:1
S3:1
S4:1
S5:1
S6:1
S7:1
S8:1
S9:1
St1:1
U1:1
U2:1
U3:1
U5:1
U6:1
VBUS_1:1
VBUS_USB1:1
Y1:1
