Designator,Mid X,Mid Y,Rotation,Layer
S15,86.470478,-65.083541,0.0,top
S16,67.420478,-65.083541,0.0,top
S17,48.370478,-65.083541,0.0,top
S18,29.320478,-65.083541,0.0,top
S19,115.045478,-84.133541,0.0,top
S2,110.282978,-26.983541,0.0,top
S20,86.470476,-84.133541,0.0,top
S21,67.420478,-84.133541,0.0,top
S22,48.370478,-84.133541,0.0,top
S23,29.320478,-84.133541,0.0,top
S24,103.139228,-103.183541,0.0,top
S26,158.557978,-20.433541,90.0,top
S3,91.232978,-26.983541,0.0,top
S4,72.182978,-26.983541,0.0,top
S5,53.132978,-26.983541,0.0,top
S6,31.701728,-26.983541,0.0,top
S7,129.332978,-46.033541,0.0,top
S8,110.282978,-46.033541,0.0,top
S9,91.232978,-46.033541,0.0,top
U1,146.3005,-32.003399,180.0,bottom
U2,150.9005,-26.353399,180.0,bottom
U3,141.0005,-30.653399,180.0,bottom
U5,148.7405,-56.473541,0.0,top
U6,148.7605,-36.523541,0.0,top
Y1,143.8005,-107.453399,0.0,bottom
