Designator,Mid X,Mid Y,Rotation,Layer
D30,76.245456,-155.523541,0.0,bottom
D31_2,42.955478,-42.357291,0.0,top
D31,57.195456,-155.523541,0.0,bottom
D32_2,35.764206,-155.523541,0.0,bottom
D32,52.482978,-46.757291,180.0,bottom
D33_2,62.095478,-42.357291,0.0,top
D33,23.595456,-160.673541,90.0,top
D34_2,23.595456,-141.213541,90.0,top
D34,71.532978,-46.757291,180.0,bottom
D35_2,26.562978,-122.533541,0.0,top
D35,81.115478,-42.357291,0.0,top
D36_2,35.764206,-136.473541,180.0,bottom
D36,90.582978,-46.757291,180.0,bottom
D37_2,87.995478,-32.857291,90.0,top
D37,46.445456,-122.533541,0.0,top
D38_2,96.295478,-24.657291,0.0,top
D38,57.195456,-136.473541,180.0,bottom
D39_2,66.745456,-122.533541,0.0,top
D39,107.251728,-27.707291,180.0,bottom
D4_2,163.195456,-187.903541,270.0,top
D4,114.395478,-103.907291,0.0,bottom
D40_2,76.245456,-136.473541,180.0,bottom
D40,119.157978,-46.757291,180.0,bottom
D41_2,121.395478,-24.657291,0.0,top
D41,85.765456,-122.533541,0.0,top
D42_2,147.495478,-24.657291,0.0,top
D42,95.295456,-136.473541,180.0,bottom
D43_2,104.925456,-122.533541,0.0,top
D43,163.195478,-35.677291,270.0,top
D44_2,163.195478,-52.477291,270.0,top
D44,114.345456,-136.473541,180.0,bottom
D45_2,163.195478,-67.267291,270.0,top
D45,123.805456,-122.533541,0.0,top
D46_2,163.195478,-84.957291,270.0,top
D46,133.395456,-136.473541,180.0,bottom
D47_2,163.195478,-104.167291,270.0,top
D47,138.662978,-122.533541,0.0,top
D48_2,156.462978,-124.643399,90.0,top
D48,156.675478,-115.737291,270.0,top
D5_2,104.975478,-117.857291,180.0,top
D5,163.195456,-204.703541,270.0,top
D6_2,147.445456,-215.763541,180.0,top
D6,95.345478,-103.907291,0.0,bottom
D7_2,85.815478,-117.857291,180.0,top
D7,121.345456,-215.763541,180.0,top
D8_2,119.107956,-193.623541,0.0,bottom
D8,76.295478,-103.907291,0.0,bottom
D9_2,66.795478,-117.857291,180.0,top
D9,107.201706,-212.673541,0.0,bottom
Di1_2,138.162978,-137.993399,90.0,bottom
Di1,124.995478,-104.557291,270.0,bottom
Di10_2,27.375478,-104.877291,270.0,bottom
Di10,44.942978,-132.573399,90.0,bottom
Di11_2,139.612978,-154.843399,90.0,bottom
Di11,124.945478,-86.557291,270.0,bottom
Di12_2,105.895478,-86.557291,270.0,bottom
Di12,122.912978,-155.193399,90.0,bottom
Di13_2,84.812978,-155.193399,90.0,bottom
Di13,67.795478,-86.557291,270.0,bottom
Di14_2,65.762978,-155.193399,90.0,bottom
Di14,48.745478,-86.557291,270.0,bottom
Di15_2,27.314228,-86.557291,270.0,bottom
Di15,44.331728,-155.193399,90.0,bottom
Di16_2,118.362978,-174.243399,90.0,bottom
Di16,101.132978,-67.507291,270.0,bottom
Di17_2,82.082978,-67.507291,270.0,bottom
Di17,99.262978,-173.843399,90.0,bottom
Di18_2,63.032978,-67.507291,270.0,bottom
Di18,80.312978,-174.093399,90.0,bottom
Di19_2,24.795478,-68.757291,270.0,bottom
Di19,42.212978,-173.893399,90.0,bottom
Di2_2,66.312978,-131.843399,90.0,bottom
Di2,48.745478,-105.607291,270.0,bottom
Di20_2,128.262978,-189.043399,90.0,bottom
Di20,110.657978,-48.457291,270.0,bottom
Di21_2,81.595478,-51.457291,270.0,bottom
Di21,99.062978,-192.593399,90.0,bottom
Di22_2,61.362978,-193.793399,90.0,bottom
Di22,43.545478,-51.307291,270.0,bottom
Di23_2,42.062978,-193.743399,90.0,bottom
Di23,24.395478,-51.257291,270.0,bottom
Di24_2,115.012978,-199.343399,270.0,bottom
